series_id,period_end,fiscal_year,fiscal_quarter,segment,component,value,units,source,notes
de_q2call_h2_cadence_statement,2024-05-16,2024,2,enterprise,h2_underproduction_lower_volumes,1,flag_statement_made,call-transcripts/2024-05-16__de-us-20240516-call-pres__46458.md,"""Demand shifts, coupled with proactive inventory management, are reflected in our production schedules for the balance of the fiscal year, with many product lines anticipating retail demand under production to close out 2024."" | component field carries the coded content of the statement"
de_q2call_h2_cadence_statement,2025-05-15,2025,2,enterprise,h2_margins_back_end_loaded,1,flag_statement_made,call-transcripts/2025-05-15__de-us-20250515-call-qna__46440.md,"""Again, being so back-end loaded in the back half margins, that's 2 to 2 and a half points in the back half."" | component field carries the coded content of the statement"
de_q2call_h2_cadence_statement,2026-05-21,2026,2,enterprise,q4_higher_than_q3,1,flag_statement_made,call-transcripts/2026-05-21__de-us-20260521-call-pres__1042774.md,"""we would expect slightly higher revenue in the back half, with the fourth quarter being higher than the third quarter. In addition, we would expect to see our most favorable cost comparisons in the fourth quarter as well."" | component field carries the coded content of the statement"
de_q2call_h2_cadence_by_segment,2026-05-21,2026,2,PPA,q4_stronger_than_q3,1,flag_statement_made,call-transcripts/2026-05-21__de-us-20260521-call-qna__1042775.md,"""As you look at Large Ag ... Q4 a bit stronger than Q3. We talked about at the beginning of the year some differences in normal seasonality. We've got more Waterloo large tractor shipments shipping to North America in the back half than the front half of the year. That's abnormal for us, but reflected how the order book built for the course of the year."""
de_q2call_h2_cadence_by_segment,2026-05-21,2026,2,SAT,step_down_q3_then_q4,1,flag_statement_made,call-transcripts/2026-05-21__de-us-20260521-call-qna__1042775.md,"""On the small Ag side, it's pretty normal seasonality. You'll get a little bit of a step down in Q3 and another step down in Q4, just on a normal seasonal basis."""
de_q2call_h2_cadence_by_segment,2026-05-21,2026,2,CF,balanced_q3_q4,1,flag_statement_made,call-transcripts/2026-05-21__de-us-20260521-call-qna__1042775.md,"""Construction & Forestry, fairly balanced between the two. Both top line and margin in the back half, maybe a little bit stronger in the fourth quarter than Q3, but overall pretty close."""
de_q2call_h2_cadence_by_segment,2026-05-21,2026,2,PPA_absorption,q4_better_overhead_absorption,1,flag_statement_made,call-transcripts/2026-05-21__de-us-20260521-call-qna__1042775.md,"""The other thing that we'll see, particularly for our large ag factories, is a little bit better absorption in the fourth quarter as production rates are significantly higher."" | implies Q3 FY2026 PPA carries WEAKER absorption than Q4"
de_q2call_h2_cadence_by_segment,2026-05-21,2026,2,enterprise_price_cost,price_cost_improves_through_h2,1,flag_statement_made,call-transcripts/2026-05-21__de-us-20260521-call-qna__1042775.md,"""Price cost will improve as we move through the balance of the fiscal year."" with ""most favorable cost comparisons in the fourth quarter"" -> Q3 sits between H1 and the favourable Q4"
de_orderbook_to_revenue_break_flag,2012-08-15,2012,3,AT,orders_cancellable,1,flag_1_yes,call-transcripts/2012-08-15__de-us-20120815-call-pres__1533564.md,"""Consequently, some machines will be shipped too late for harvest, we have allowed dealers to cancel orders."" | a booked order is not an unconditional shipment"
de_orderbook_to_revenue_break_flag,2022-05-20,2022,2,enterprise,supply_constrained_shipment,1,flag_1_yes,call-transcripts/2022-05-20__de-us-20220520-call-qna__46464.md,"""Really, the biggest challenge, though, as we noted in the Q2, was the number of partially completed machines that you referenced"" | FY2022 order books were FULL yet revenue timing was set by parts availability, not by the order book"
de_orderbook_to_revenue_break_flag,2022-08-19,2022,3,CF_compact,supply_constrained_shipment,1,flag_1_yes,call-transcripts/2022-08-19__de-us-20220819-call-pres__46475.md,"""Though demand remains strong for compact construction products, the downward revision reflects extremely low levels of inventory and supply challenges constraining shipments."" | full demand, revised-down revenue"
de_orderbook_to_revenue_break_flag,2019-05-17,2019,2,PPA,deere_cut_its_own_schedule_at_q2,1,flag_1_yes,call-transcripts/2019-05-17__de-us-20190517-call-pres-2__1392890.md,"""our decision to underproduce retail for the remainder of the year"" announced AT the Q2 call -> the H2 revenue change was a Deere decision, disclosed at the Q2 call, not an unforecastable shock"
de_q3_over_q2_nsr_ratio,2020-08-02,2020,3,enterprise,realised_q3_div_q2_net_sales_and_revenues,0.9646,ratio,filings/ 8-K earnings releases (Q2 and Q3 of each FY),Q3 NSR 8925 / Q2 NSR 9253. Tests whether Q3 revenue is mechanically implied by Q2. n=6 across FY2020-FY2025.
de_q3_over_q2_nsr_ratio,2021-08-01,2021,3,enterprise,realised_q3_div_q2_net_sales_and_revenues,0.956,ratio,filings/ 8-K earnings releases (Q2 and Q3 of each FY),Q3 NSR 11527 / Q2 NSR 12058. Tests whether Q3 revenue is mechanically implied by Q2. n=6 across FY2020-FY2025.
de_ppa_q3_over_q2_sales_ratio,2021-08-01,2021,3,PPA,realised_q3_div_q2_segment_net_sales,0.9384,ratio,filings/ 8-K earnings releases (Q2 and Q3 of each FY),"PPA Q3 sales 4250 / Q2 sales 4529. Segment tables only exist from FY2021 (new segment structure), so n=5."
de_ppa_margin_q3_minus_q2_pp,2021-08-01,2021,3,PPA,realised_q3_minus_q2_operating_margin,-0.92,percentage_points,filings/ 8-K earnings releases (Q2 and Q3 of each FY),Q3 margin 21.32% minus Q2 margin 22.23%. n=5.
de_q3_over_q2_nsr_ratio,2022-07-31,2022,3,enterprise,realised_q3_div_q2_net_sales_and_revenues,1.0547,ratio,filings/ 8-K earnings releases (Q2 and Q3 of each FY),Q3 NSR 14102 / Q2 NSR 13370. Tests whether Q3 revenue is mechanically implied by Q2. n=6 across FY2020-FY2025.
de_ppa_q3_over_q2_sales_ratio,2022-07-31,2022,3,PPA,realised_q3_div_q2_segment_net_sales,1.1913,ratio,filings/ 8-K earnings releases (Q2 and Q3 of each FY),"PPA Q3 sales 6096 / Q2 sales 5117. Segment tables only exist from FY2021 (new segment structure), so n=5."
de_ppa_margin_q3_minus_q2_pp,2022-07-31,2022,3,PPA,realised_q3_minus_q2_operating_margin,0.55,percentage_points,filings/ 8-K earnings releases (Q2 and Q3 of each FY),Q3 margin 21.21% minus Q2 margin 20.66%. n=5.
de_q3_over_q2_nsr_ratio,2023-07-30,2023,3,enterprise,realised_q3_div_q2_net_sales_and_revenues,0.9088,ratio,filings/ 8-K earnings releases (Q2 and Q3 of each FY),Q3 NSR 15801 / Q2 NSR 17387. Tests whether Q3 revenue is mechanically implied by Q2. n=6 across FY2020-FY2025.
de_ppa_q3_over_q2_sales_ratio,2023-07-30,2023,3,PPA,realised_q3_div_q2_segment_net_sales,0.8701,ratio,filings/ 8-K earnings releases (Q2 and Q3 of each FY),"PPA Q3 sales 6806 / Q2 sales 7822. Segment tables only exist from FY2021 (new segment structure), so n=5."
de_ppa_margin_q3_minus_q2_pp,2023-07-30,2023,3,PPA,realised_q3_minus_q2_operating_margin,-1.56,percentage_points,filings/ 8-K earnings releases (Q2 and Q3 of each FY),Q3 margin 26.18% minus Q2 margin 27.74%. n=5.
de_q3_over_q2_nsr_ratio,2024-07-28,2024,3,enterprise,realised_q3_div_q2_net_sales_and_revenues,0.8633,ratio,filings/ 8-K earnings releases (Q2 and Q3 of each FY),Q3 NSR 13152 / Q2 NSR 15235. Tests whether Q3 revenue is mechanically implied by Q2. n=6 across FY2020-FY2025.
de_ppa_q3_over_q2_sales_ratio,2024-07-28,2024,3,PPA,realised_q3_div_q2_segment_net_sales,0.7748,ratio,filings/ 8-K earnings releases (Q2 and Q3 of each FY),"PPA Q3 sales 5099 / Q2 sales 6581. Segment tables only exist from FY2021 (new segment structure), so n=5."
de_ppa_margin_q3_minus_q2_pp,2024-07-28,2024,3,PPA,realised_q3_minus_q2_operating_margin,-2.28,percentage_points,filings/ 8-K earnings releases (Q2 and Q3 of each FY),Q3 margin 22.79% minus Q2 margin 25.07%. n=5.
de_q3_over_q2_nsr_ratio,2025-07-27,2025,3,enterprise,realised_q3_div_q2_net_sales_and_revenues,0.9416,ratio,filings/ 8-K earnings releases (Q2 and Q3 of each FY),Q3 NSR 12018 / Q2 NSR 12763. Tests whether Q3 revenue is mechanically implied by Q2. n=6 across FY2020-FY2025.
de_ppa_q3_over_q2_sales_ratio,2025-07-27,2025,3,PPA,realised_q3_div_q2_segment_net_sales,0.817,ratio,filings/ 8-K earnings releases (Q2 and Q3 of each FY),"PPA Q3 sales 4273 / Q2 sales 5230. Segment tables only exist from FY2021 (new segment structure), so n=5."
de_ppa_margin_q3_minus_q2_pp,2025-07-27,2025,3,PPA,realised_q3_minus_q2_operating_margin,-8.38,percentage_points,filings/ 8-K earnings releases (Q2 and Q3 of each FY),Q3 margin 13.57% minus Q2 margin 21.95%. n=5.
de_ppa_h2_sales_yoy_pct,2022-07-31,2022,4,PPA,h2_q3_plus_q4_segment_sales_yoy,51.8,pct_yoy,filings/ 8-K earnings releases (Q3 and Q4 of each FY),"H2 FY2022 PPA sales 13530 vs H2 FY2021 8911. Paired with de_ppa_h2_op_yoy_pct to show revenue-vs-profit amplification. n=4 (FY2022-FY2025), segment tables begin FY2021."
de_ppa_h2_op_yoy_pct,2022-07-31,2022,4,PPA,h2_q3_plus_q4_segment_operating_profit_yoy,80.2,pct_yoy,filings/ 8-K earnings releases (Q3 and Q4 of each FY),H2 FY2022 PPA operating profit 3033 vs H2 FY2021 1683. Amplification vs sales = 1.5x.
de_ppa_h2_sales_yoy_pct,2023-07-30,2023,4,PPA,h2_q3_plus_q4_segment_sales_yoy,1.8,pct_yoy,filings/ 8-K earnings releases (Q3 and Q4 of each FY),"H2 FY2023 PPA sales 13771 vs H2 FY2022 13530. Paired with de_ppa_h2_op_yoy_pct to show revenue-vs-profit amplification. n=4 (FY2022-FY2025), segment tables begin FY2021."
de_ppa_h2_op_yoy_pct,2023-07-30,2023,4,PPA,h2_q3_plus_q4_segment_operating_profit_yoy,19.3,pct_yoy,filings/ 8-K earnings releases (Q3 and Q4 of each FY),H2 FY2023 PPA operating profit 3618 vs H2 FY2022 3033. Amplification vs sales = 10.8x.
de_ppa_h2_sales_yoy_pct,2024-07-28,2024,4,PPA,h2_q3_plus_q4_segment_sales_yoy,-31.7,pct_yoy,filings/ 8-K earnings releases (Q3 and Q4 of each FY),"H2 FY2024 PPA sales 9404 vs H2 FY2023 13771. Paired with de_ppa_h2_op_yoy_pct to show revenue-vs-profit amplification. n=4 (FY2022-FY2025), segment tables begin FY2021."
de_ppa_h2_op_yoy_pct,2024-07-28,2024,4,PPA,h2_q3_plus_q4_segment_operating_profit_yoy,-49.7,pct_yoy,filings/ 8-K earnings releases (Q3 and Q4 of each FY),H2 FY2024 PPA operating profit 1819 vs H2 FY2023 3618. Amplification vs sales = 1.6x.
de_ppa_h2_sales_yoy_pct,2025-07-27,2025,4,PPA,h2_q3_plus_q4_segment_sales_yoy,-4.2,pct_yoy,filings/ 8-K earnings releases (Q3 and Q4 of each FY),"H2 FY2025 PPA sales 9013 vs H2 FY2024 9404. Paired with de_ppa_h2_op_yoy_pct to show revenue-vs-profit amplification. n=4 (FY2022-FY2025), segment tables begin FY2021."
de_ppa_h2_op_yoy_pct,2025-07-27,2025,4,PPA,h2_q3_plus_q4_segment_operating_profit_yoy,-34.9,pct_yoy,filings/ 8-K earnings releases (Q3 and Q4 of each FY),H2 FY2025 PPA operating profit 1184 vs H2 FY2024 1819. Amplification vs sales = 8.4x.
de_q2call_h2_revenue_call_accuracy,2025-05-15,2025,2,enterprise,q2call_said_h2_sales_change_small_actual_yoy_pct,0.5,pct_yoy,call-transcripts/2025-05-15__de-us-20250515-call-qna__46440.md,"""The decremental math, candidly, gets a little bit funny just because the change in sales is relatively small year-over-year as you look at the second half of 2025 versus the second half of 2024."" Actual: H2 FY2025 enterprise net sales and revenues 12,018 + 12,394 = 24,412 vs H2 FY2024 13,152 + 11,143 = 24,295, i.e. +0.5%. The Q2-call revenue characterisation was right; the whole Q&A that day was analysts disputing the MARGIN, not the revenue."
de_q2call_q3_revenue_guide_pct,2023-05-19,2023,2,enterprise,q2call_guided_q3_sequential_change,-12.5,pct_sequential,call-transcripts/2023-05-19__de-us-20230519-call-pres__46451.md,"""We'd expect revenue to be down sequentially by a bit over 10% in the third quarter."" and, in Q&A, ""a sequential decline anywhere from, you know, 10%-15% in revenue as we go into the third quarter."" Value = midpoint of the 10-15% range."
de_q3_revenue_actual_vs_q2call_guide_pp,2023-07-30,2023,3,enterprise,actual_minus_guided_sequential_change,3.4,percentage_points,filings/2023-08-18__de-us-20230818-q3-8k__105829.md and filings/2023-05-19__de-us-20230519-q2-8k__105839.md,"Actual Q3 FY2023 sequential change -9.1% (15801 vs 17387) versus the -12.5% midpoint guided at the Q2 call. n=1: this is the ONLY quarter in the corpus where management put an explicit number on the Q3 sequential revenue move at the Q2 call, so it is an anecdote, not a distribution."
